,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
MAPK3,1.0,1.0,0.226460386147951,0.396619476902199,1.0,0.343543057068495,1.0,0.433064463944015,0.396619476902199,1.0,1.0
CDC42BPA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.233261368028376,1.0
RBMX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.524369598689253,1.0
SSR3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3387504318939535,1.0
EIF3B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48467834158068,1.0
ARPP19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.403981539593378,1.0
RNF169,1.0,1.0,0.3803189210350326,1.0,1.0,1.0,1.0,1.0,1.0,0.467986375006907,1.0
HNRNPU,1.0,1.0,1.0,1.0,0.563779641434263,1.0,1.0,1.0,1.0,0.226702587093543,1.0
SHROOM1,1.0,1.0,0.4389258908872865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NFATC2,1.0,1.0,0.471560806923717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMARCC1,1.0,1.0,0.321038567047534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STAG2,1.0,1.0,0.485628252786445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RPL6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.339901666587294,1.0
FAM219A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.472967513976098,1.0
NUP98,1.0,0.564905828276915,0.454472894690548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM188B,1.0,1.0,0.450975548951896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NO66,1.0,1.0,1.0,1.0,1.0,0.405090296883374,1.0,1.0,1.0,1.0,1.0
LYST,1.0,1.0,0.391362637450396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FOS,1.0,1.0,0.383636948443945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOLC1,1.0,1.0,1.0,1.0,0.573134682618216,1.0,1.0,1.0,1.0,0.2823162342433813,1.0
XIAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.354572695973371,1.0
TBC1D4,0.4904608040759005,0.482943891746284,0.344249791134925,0.384191410603126,0.5136629904454291,0.571721815028073,0.4537567032633703,0.398595748011864,0.3652039146953627,0.351619911926229,1.0
BRWD1,1.0,1.0,0.2494053892176985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AQP7, AQP7P3",1.0,1.0,0.231564752141004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTSS1L,1.0,1.0,0.4740052965142427,1.0,1.0,1.0,1.0,1.0,0.365454660868731,0.3573370379565584,1.0
UBXN7,1.0,1.0,0.411448418104146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EDC3,1.0,0.342601998248527,1.0,1.0,0.446933150736583,1.0,0.366429800918542,1.0,1.0,1.0,1.0
PAWR,1.0,1.0,1.0,0.49333956001663,1.0,1.0,1.0,1.0,0.454309209146317,0.500209707771535,1.0
VASP,1.0,1.0,0.580675797684647,1.0,0.399743761224227,1.0,1.0,1.0,1.0,0.2820186863161359,1.0
OSBP,1.0,1.0,0.553180691051287,1.0,0.543165805624291,1.0,1.0,1.0,1.0,0.455165113113827,1.0
"RGPD1, RGPD2, RGPD3, RGPD5, RGPD8",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48332123531145,1.0
CENPF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.428395420593922,1.0
VIM,1.0,1.0,0.445893096995479,1.0,0.526655315694853,1.0,1.0,1.0,1.0,1.0,1.0
"DIP2A, DIP2B",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20547700385698,1.0
EIF2AK3,1.0,1.0,1.0,0.588278435157957,1.0,1.0,1.0,1.0,1.0,0.393593066176125,1.0
RBM34,1.0,1.0,0.3775202292562343,0.245169056313283,0.4534977328523535,1.0,1.0,1.0,0.245169056313283,0.2495522846021249,1.0
CAMK2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4906185989585805,1.0
MICAL3,1.0,1.0,0.482609123046611,0.382879908173854,1.0,1.0,1.0,0.55860101833194,0.382879908173854,0.3523407105817037,1.0
HIVEP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.535227796168437,1.0
XPR1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.393206342611468,1.0
ARAP3,1.0,1.0,0.465456806098682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TCOF1,1.0,1.0,1.0,0.399923995,1.0,1.0,1.0,1.0,1.0,0.2617437873116222,1.0
CAMSAP2,1.0,1.0,0.366763621456747,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SPATS2L,0.395239697965607,0.232116835647086,1.0,0.565421205026047,0.273018047705898,1.0,0.176096533813403,1.0,1.0,1.0,1.0
MYBL2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.480932826455614,1.0
KDM2B,0.437690433505971,0.573112056892756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRSF5,1.0,0.563051933195142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ETV5,1.0,1.0,0.580416732545713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABL1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDCA2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.276155863926315,1.0
MSH6,1.0,1.0,1.0,0.461061982,1.0,1.0,1.0,1.0,1.0,0.518663446727559,1.0
ZC3H13,1.0,1.0,0.279300343746906,1.0,0.467067485215452,1.0,1.0,1.0,1.0,0.378994963201571,1.0
GPRC5C,1.0,1.0,0.116473246902206,1.0,0.564854308360305,1.0,1.0,1.0,1.0,0.2825230155033775,1.0
YWHAZ,1.0,1.0,1.0,0.489264339,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAFB,1.0,0.524470760857412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4590144755638573,1.0
BTRC,1.0,1.0,1.0,1.0,0.55004953943735,1.0,1.0,1.0,1.0,1.0,1.0
CDK17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3385073687915143,1.0
SGTA,1.0,1.0,0.4334159804920422,1.0,0.545497632931241,0.418453144090898,1.0,0.4534648498678316,1.0,0.1003883423219565,1.0
TICRR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3813698622191265,1.0
CSNK1D,1.0,1.0,0.492570657906566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
STMN1,1.0,1.0,0.3744341092446928,1.0,1.0,1.0,1.0,1.0,1.0,0.3800681396425204,1.0
SSH3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.363042232844072,1.0
RAB3GAP1,1.0,0.4159872909354135,0.374377704906018,0.385357258826226,1.0,0.496006024770213,0.283072704946877,1.0,0.449758383064409,1.0,1.0
MEPCE,1.0,0.5180558593838237,0.4057671351495978,0.319745996404598,1.0,1.0,0.38614616536274,1.0,0.319745996404598,0.3575891443073578,1.0
WAS,1.0,1.0,0.095078837825963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRCAP,1.0,1.0,0.299739242232096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUP153,1.0,1.0,0.4374302804714571,1.0,1.0,0.527086828790049,1.0,1.0,1.0,0.365627880620592,1.0
EIF4EBP2,1.0,1.0,0.3571579289214105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARAP1,1.0,1.0,0.3056916329469292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MRGBP,1.0,1.0,0.59053139291519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOL8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13142670615828,1.0
FUS,1.0,1.0,0.144054900075371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TCEA1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.282161973831979,1.0,1.0,1.0
PHLDB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.405415572500867,1.0
NPM1,1.0,0.567041124037144,1.0,0.355205085,1.0,1.0,1.0,1.0,1.0,0.2650815994329071,1.0
LASP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48902418199572,1.0
DCAF6,1.0,1.0,0.467478021897169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CENPC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.522450222280816,1.0
PLCE1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.383631848259836,1.0,1.0
