,Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID
1045,USP24,1.5349416919881167,0.0,0.0,-1.1575644083927137,0.0,-0.8128818420314466,0.0,-0.1093593671977888,0.0,0.0,0.0,-1.09707969561743,-1.777330734603895,0.0,-1.00110529794534,2.0435078041560133,1.2215044096986836,1.05718681704131,-2.139927624274382,0.4144903136830478,-1.123952559155039,-1.8308291529953984,0.0,23358
1046,USP39,-2.7720450611387726,0.0,0.0,0.0,0.0,0.0,0.0,-1.4389659156013583,0.0,0.0,0.0,0.7382963316845718,1.1128816238266164,0.0,0.0,1.4204835878367554,1.3073450304422194,0.0,0.0,0.0,0.0,0.0,0.0,10713
1047,USP43,-1.3134831393711008,0.0,-1.3726519961740142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5352515680951817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124739
1048,USP54,-1.466332755327496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2580862957204737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4622051276774128,0.0,0.0,159195
1049,UVRAG,-1.3809898858088634,0.0,-1.4304530406603355,0.0,0.0,-1.438954009766007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0959372447624116,-2.71566322348662,-2.1840045974884608,0.0,0.0,-1.1445302706366465,0.0,0.0,0.0,7405
1050,VCL,1.4837159055476858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7377744356095393,0.3250256265836531,0.0,0.0,0.0,0.0,0.0,1.5394263062731686,0.0,0.0,0.0,0.0,7414
1053,VPS4B,0.3996268231569589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3134896857712228,-1.5252958298191044,0.0,0.0,0.0,0.0,0.0,0.0,9525
1054,WAC,0.5647973799494116,0.0,0.0,-0.8239266442054403,0.0,0.0,0.0,0.1428867098419589,0.0,0.0,0.0,-1.3629351271281624,1.142328837598877,0.0,0.0,-0.0366427051167301,-0.2596897910751718,-1.0850575934737297,0.0,0.0,0.0,0.0,0.0,51322
1056,WDFY3,1.596508817780378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3346690215081092,0.0,0.0,23001
1057,WDR33,-1.0293334833811278,0.0,0.0,0.0,0.0,0.0,0.0,1.4908920269535944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967448218259368,1.2538461368256637,0.0,0.0,0.0,0.0,0.0,1.023475097295962,55339
1058,WDR4,-1.219747061140445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.706616947190019,1.7705480225382495,0.0,0.0,0.0,0.0,0.0,0.0,10785
1059,WDR43,-2.5625491821150725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8960481182224116,0.0,0.0,0.0,1.393656347202722,1.3247607941975994,0.0,0.0,0.0,0.0,0.0,0.0,23160
